1990,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.09506849
1990,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.51424658
1990,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.44876712
1991,56187,103.833333,30.7,388272.0573,3396935.969,539.3,15.93945205
1991,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.20082192
1991,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.31506849
1992,56187,103.833333,30.7,388272.0573,3396935.969,539.3,15.4704918
1992,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,14.9273224
1992,56196,104.733333,31.45,474662.6724,3479505.745,522.7,15.75163934
1993,56187,103.833333,30.7,388272.0573,3396935.969,539.3,15.64164384
1993,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.24767123
1993,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.27917808
1994,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.25643836
1994,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.85589041
1994,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.95835616
1995,56187,103.833333,30.7,388272.0573,3396935.969,539.3,15.96383562
1995,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.48630137
1995,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.72273973
1996,56187,103.833333,30.7,388272.0573,3396935.969,539.3,15.40710383
1996,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,14.87923497
1996,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.11120219
1997,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.19205479
1997,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.82958904
1997,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.90493151
1998,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.78219178
1998,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,16.40794521
1998,56196,104.733333,31.45,474662.6724,3479505.745,522.7,17.58164384
1999,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.26821918
1999,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.77616438
1999,56196,104.733333,31.45,474662.6724,3479505.745,522.7,17.02547945
2000,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.02213115
2000,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.56803279
2000,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.91584699
2001,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.54931507
2001,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,16.08164384
2001,56196,104.733333,31.45,474662.6724,3479505.745,522.7,17.47041096
2002,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.65643836
2002,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,16.16657534
2002,56196,104.733333,31.45,474662.6724,3479505.745,522.7,17.51726027
2003,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.4509589
2003,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.88273973
2003,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.89315068
2004,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.3579235
2004,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,16.0852459
2004,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.85983607
2005,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.28109589
2005,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,15.88547945
2005,56196,104.733333,31.45,474662.6724,3479505.745,522.7,16.69890411
2006,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.94876712
2006,56188,103.666667,30.983333,372684.3443,3428517.537,706.7,16.3509589
2006,56196,104.733333,31.45,474662.6724,3479505.745,522.7,17.79150685
2007,56187,103.833333,30.7,388272.0573,3396935.969,539.3,16.84986301
